Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,GME,INTC,GME,INTC,GME,INTC,GME,INTC,GME,INTC
Date,,,,,,,,,,
2024-06-11,30.489999771118164,30.7250919342041,30.920000076293945,30.834399141756844,22.790000915527344,30.337550955172254,24.399999618530273,30.57603785729381,146914700,25326900
2024-06-12,25.459999084472656,30.56610107421875,33.70000076293945,31.281561790135704,24.829999923706055,30.198432577294135,29.170000076293945,31.26168740752887,147986700,51323900
2024-06-13,29.1200008392334,30.26799201965332,29.579999923706055,30.387236423902817,25.559999465942383,29.950009468755333,26.559999465942383,30.18849638192882,107306600,33787200
2024-06-14,28.700000762939453,30.258056640625,30.65999984741211,30.36736195761891,27.40999984741211,30.01956783277801,29.229999542236328,30.099065365610674,82874400,28125900
2024-06-17,25.219999313354492,30.784713745117188,29.18000030517578,30.804588127819695,23.790000915527344,29.989757390271375,28.549999237060547,30.14874866124054,90351900,36235300
2024-06-18,24.700000762939453,30.436920166015625,25.969999313354492,31.27162530099019,23.610000610351562,30.307740466821567,24.579999923706055,30.79465147966915,38079200,33294700
2024-06-20,25.59000015258789,30.426984786987305,25.93000030517578,30.913895798509436,23.649999618530273,30.258056322146935,24.25,30.367361637990363,36029300,43826300
2024-06-21,23.93000030517578,30.894020080566406,25.809999465942383,31.162318553482905,23.510000228881836,30.476667532249213,25.239999771118164,30.65553318086021,28004000,92549000
2024-06-24,23.649999618530273,30.37729835510254,24.829999923706055,31.221940666114026,23.239999771118164,30.337551485050767,23.260000228881836,30.943704994449813,22162900,40611800
2024-06-25,24.93000030517578,30.546226501464844,24.969999313354492,30.635659327313434,22.549999237060547,30.099064267547327,23.600000381469727,30.506479631824043,27625600,29498600
2024-06-26,24.200000762939453,30.347488403320312,25.3799991607666,30.48660529023788,24.040000915527344,30.079189925414628,24.600000381469727,30.446856525218326,17903000,30743000
2024-06-27,25.09000015258789,30.397172927856445,26.690000534057617,30.466731372376067,24.059999465942383,30.099064766965085,24.100000381469727,30.228244464597882,34867000,30184300
2024-06-28,24.690000534057617,30.774776458740234,26.170000076293945,31.11263338233784,24.309999465942383,30.526352361702315,25.020000457763672,30.556163935664028,20212000,41467700
2024-07-01,23.329999923706055,30.645597457885742,23.780000686645508,30.824463115065406,22.309999465942383,30.417047738300834,23.350000381469727,30.71515590338328,30689000,32401800
2024-07-02,23.979999542236328,30.874147415161133,24.31999969482422,31.112634328128223,23.100000381469727,30.39717358922695,23.239999771118164,30.66547207706199,13703500,35999300
2024-07-03,24.3700008392334,31.033138275146484,24.889999389648438,31.14244548620724,23.649999618530273,30.71515572877935,24.030000686645508,30.923832959411207,11829500,24065700
2024-07-05,24.18000030517578,31.818159103393555,25.079999923706055,32.13614164734713,23.81999969482422,31.112633675586775,24.18000030517578,31.2020665029894,11782100,45309400
2024-07-08,24.450000762939453,33.77574157714844,25.139999389648438,33.87510969875,23.850000381469727,32.613114843025684,24.1200008392334,32.82179017277948,11815500,82315900
2024-07-09,24.600000381469727,34.3719596862793,25.18000030517578,34.99798949894323,24.0,33.507444853034585,24.600000381469727,34.79924945469186,9419800,97546900
2024-07-10,24.969999313354492,34.65019226074219,26.450000762939453,34.7495641747144,24.899999618530273,33.91485905060243,25.0,34.22290250728898,22325400,52256200
